line,customers,load,cost
730,1.0,28.5803,0.0
731,1.0,0.760008,0.0
732,1.0,197.082,0.0
733,,,
734,1.0,2.74003,0.0
735,,,
736,,,
737,,,
738,1.0,96.761,0.0
739,1.0,83.4808,0.0
740,1.0,2.74003,0.0
741,1.0,8.13008,0.0
742,,,
743,1.0,153.322,0.0
744,,,
745,,,
746,,,
747,1.0,41.5604,0.0
748,,,
749,1.0,1.66002,0.0
750,1.0,28.5803,0.0
751,1.0,8.13008,0.0
752,,,
753,,,
754,,,
755,1.0,2.74003,0.0
756,1.0,29.4403,0.0
757,2.0,1.520016,0.0
758,1.0,174.282,0.0
759,,,
760,,,
761,,,
762,1.0,2.74003,0.0
763,,,
764,,,
765,1.0,95.001,0.0
766,,,
767,,,
768,,,
769,,,
770,,,
771,,,
772,1.0,1.66002,0.0
773,,,
774,,,
775,1.0,2.74003,0.0
776,1.0,1.66002,0.0
777,,,
778,,,
779,1.0,2.74003,0.0
780,,,
781,1.0,24.6002,0.0
782,1.0,1.66002,0.0
783,,,
784,1.0,152.342,0.0
785,,,
786,1.0,47.7205,0.0
787,,,
788,1.0,2.74003,0.0
789,,,
790,,,
791,1.0,357.764,0.0
792,,,
793,1.0,28.5803,0.0
794,,,
795,1.0,95.241,0.0
796,1.0,27.6503,0.0
797,,,
798,,,
799,,,
800,,,
801,,,
802,1.0,12.2001,0.0
803,1.0,2.74003,0.0
804,,,
805,,,
806,1.0,121.161,0.0
807,,,
808,,,
809,,,
810,1.0,28.5803,0.0
811,,,
812,,,
813,,,
814,,,
815,,,
816,,,
817,,,
818,1.0,2.74003,0.0
819,,,
820,,,
821,,,
822,1.0,80.0108,0.0
823,1.0,2.74003,0.0
824,1.0,2.40002,0.0
825,,,
826,,,
827,,,
828,1.0,1.66002,0.0
829,1.0,40.7404,0.0
830,,,
831,,,
832,,,
833,1.0,226.202,0.0
834,2.0,3.32004,0.0
835,,,
836,1.0,4.40004,0.0
837,,,
838,1.0,28.5803,0.0
839,,,
840,,,
841,1.0,0.760008,0.0
842,,,
843,,,
844,,,
845,,,
846,,,
847,1.0,28.5803,0.0
848,1.0,89.3609,0.0
849,1.0,1.66002,0.0
850,2.0,3.32004,0.0
851,,,
852,,,
853,,,
854,,,
855,,,
856,,,
857,1.0,54.0805,0.0
858,1.0,2.74003,0.0
859,1.0,2.40002,0.0
860,,,
861,,,
862,,,
863,1.0,80.9308,0.0
864,,,
865,,,
866,,,
867,,,
868,1.0,8.13008,0.0
869,1.0,2.74003,0.0
870,,,
871,,,
872,1.0,0.450005,0.0
873,1.0,152.342,0.0
874,1.0,186.882,0.0
875,1.0,1.66002,0.0
876,,,
877,1.0,27.6503,0.0
878,1.0,1.66002,0.0
879,,,
880,,,
881,,,
882,,,
883,,,
884,,,
885,1.0,74.3007,0.0
886,1.0,2.74003,0.0
887,,,
888,1.0,20.7202,0.0
889,,,
890,,,
891,1.0,254.883,0.0
892,1.0,0.760008,0.0
893,,,
894,2.0,3.32004,0.0
895,1.0,2.74003,0.0
896,,,
897,,,
898,,,
899,1.0,7.60008,0.0
900,,,
901,2.0,3.32004,0.0
902,,,
903,,,
904,,,
905,,,
906,1.0,28.5803,0.0
907,,,
908,,,
909,,,
910,1.0,29.0203,0.0
911,1.0,8.13008,0.0
912,,,
913,1.0,1.66002,0.0
914,,,
915,,,
916,,,
917,1.0,2.74003,0.0
918,1.0,4.3600400000000015,0.0
919,1.0,74.8607,0.0
920,1.0,2.74003,0.0
921,1.0,25.1403,0.0
922,2.0,2.4200280000000003,0.0
923,1.0,0.760008,0.0
924,1.0,149.561,0.0
925,,,
926,,,
927,1.0,142.52100000000004,0.0
928,1.0,2.74003,0.0
929,,,
930,1.0,28.5803,0.0
931,1.0,3.04003,0.0
932,1.0,28.5803,0.0
933,1.0,0.760008,0.0
934,,,
935,,,
936,1.0,28.5803,0.0
937,,,
938,,,
939,1.0,8.13008,0.0
940,,,
941,,,
942,,,
943,1.0,18.0402,0.0
944,,,
945,1.0,28.5803,0.0
946,,,
947,,,
948,1.0,1.66002,0.0
949,2.0,3.32004,0.0
950,,,
951,,,
952,1.0,0.410004,0.0
953,,,
954,,,
955,,,
956,1.0,119.561,0.0
957,,,
958,1.0,0.760008,0.0
959,1.0,1.66002,0.0
960,,,
961,1.0,1.84002,0.0
962,1.0,1.66002,0.0
963,1.0,0.760008,0.0
964,,,
965,,,
966,,,
967,1.0,175.52200000000005,0.0
968,,,
969,1.0,1.66002,0.0
970,,,
971,,,
972,,,
973,,,
974,,,
975,1.0,2.76003,0.0
976,2.0,15.76014,0.0
977,1.0,16.1102,0.0
978,1.0,16.7002,0.0
979,,,
980,,,
981,,,
982,,,
983,1.0,28.5803,0.0
984,,,
985,,,
986,,,
987,,,
988,1.0,112.601,0.0
989,,,
990,1.0,1.66002,0.0
991,1.0,91.8009,0.0
992,,,
993,,,
994,,,
995,,,
996,,,
997,,,
998,1.0,2.74003,0.0
999,,,
1000,,,
1001,1.0,5.12005,0.0
1002,,,
1003,,,
1004,1.0,28.5803,0.0
1005,,,
1006,,,
1007,,,
1008,,,
1009,,,
1010,1.0,1.66002,0.0
1011,,,
1012,,,
1013,1.0,2.74003,0.0
1014,1.0,2.74003,0.0
1015,,,
1016,,,
1017,,,
1018,1.0,2.74003,0.0
1019,,,
1020,1.0,2.74003,0.0
1021,1.0,0.760008,0.0
1022,,,
1023,,,
1024,,,
1025,1.0,2.74003,0.0
1026,,,
1027,2.0,3.32004,0.0
1028,1.0,28.6003,0.0
1029,1.0,124.561,0.0
1030,,,
1031,,,
1032,,,
1033,1.0,214.362,0.0
1034,,,
1035,1.0,94.7209,0.0
1036,,,
1037,1.0,0.760008,0.0
1038,,,
1039,,,
1040,1.0,7.80008,0.0
1041,,,
1042,,,
1043,,,
1044,,,
1045,,,
1046,,,
1047,1.0,0.760008,0.0
1048,,,
1049,1.0,24.2002,0.0
1050,,,
1051,1.0,2.74003,0.0
1052,,,
1053,,,
1054,,,
1055,,,
1056,,,
1057,,,
1058,,,
1059,,,
1060,,,
1061,,,
1062,1.0,28.5803,0.0
1063,2.0,3.32004,0.0
1064,,,
1065,,,
1066,1.0,8.13008,0.0
1067,,,
1068,1.0,2.74003,0.0
1069,,,
1070,,,
1071,,,
1072,,,
1073,1.0,159.722,0.0
1074,1.0,66.6807,0.0
1075,1.0,1.66002,0.0
1076,,,
1077,1.0,8.13008,0.0
1078,,,
1079,,,
1080,1.0,824.808,0.0
1081,,,
1082,,,
1083,,,
1084,,,
1085,1.0,2.74003,0.0
1086,,,
1087,1.0,45.2905,0.0
1088,1.0,0.760008,0.0
1089,1.0,1.66002,0.0
1090,,,
1091,2.0,3.32004,0.0
1092,,,
1093,1.0,0.440004,0.0
1094,1.0,55.0906,0.0
1095,,,
1096,,,
1097,1.0,133.80100000000002,0.0
1098,,,
1099,,,
1100,,,
1101,2.0,3.32004,0.0
1102,,,
1103,,,
1104,1.0,0.760008,0.0
1105,1.0,38.1404,0.0
1106,1.0,28.5803,0.0
1107,,,
1108,1.0,188.442,0.0
1109,,,
1110,,,
1111,,,
1112,,,
1113,1.0,58.8006,0.0
1114,,,
1115,,,
1116,1.0,2.74003,0.0
1117,,,
1118,,,
1119,,,
1120,1.0,16.1102,0.0
1121,1.0,1.66002,0.0
1122,,,
1123,,,
1124,,,
1125,,,
1126,,,
1127,1.0,2.74003,0.0
1128,1.0,6.60007,0.0
1129,,,
1130,,,
1131,1.0,1.66002,0.0
1132,,,
1133,,,
1134,,,
1135,,,
1136,,,
1137,1.0,89.5609,0.0
1138,,,
1139,,,
1140,1.0,28.5803,0.0
1141,1.0,28.5803,0.0
1142,,,
1143,,,
1144,1.0,8.13008,0.0
1145,,,
1146,1.0,73.3307,0.0
1147,,,
1148,,,
1149,1.0,8.13008,0.0
1150,1.0,28.5803,0.0
1151,,,
1152,1.0,2.74003,0.0
1153,,,
1154,,,
1155,,,
1156,,,
1157,1.0,2.74003,0.0
1158,,,
1159,,,
1160,,,
1161,,,
1162,,,
1163,,,
1164,1.0,2.74003,0.0
1165,,,
1166,1.0,2.20002,0.0
1167,1.0,1.66002,0.0
1168,,,
1169,,,
1170,1.0,39.1604,0.0
1171,1.0,0.760008,0.0
1172,1.0,2.74003,0.0
1173,,,
1174,1.0,1.66002,0.0
1175,,,
1176,,,
1177,,,
1178,,,
1179,,,
1180,2.0,3.32004,0.0
1181,,,
1182,,,
1183,,,
1184,,,
1185,,,
1186,1.0,1.66002,0.0
1187,1.0,2.74003,0.0
1188,1.0,1.66002,0.0
1189,,,
1190,1.0,28.5803,0.0
1191,,,
1192,1.0,2.74003,0.0
1193,1.0,86.5709,0.0
1194,1.0,1.66002,0.0
1195,,,
1196,,,
1197,,,
1198,,,
1199,2.0,2.4200280000000003,0.0
1200,,,
1201,,,
1202,1.0,1.66002,0.0
1203,,,
1204,,,
1205,,,
1206,,,
1207,,,
1208,,,
1209,1.0,2.74003,0.0
1210,,,
1211,,,
1212,1.0,16.8202,0.0
1213,1.0,95.361,0.0
1214,,,
1215,,,
1216,1.0,18.8302,0.0
1217,,,
1218,,,
1219,1.0,0.460005,0.0
1220,,,
1221,1.0,83.1208,0.0
1222,2.0,5.48006,0.0
1223,2.0,4.40005,0.0
1224,,,
1225,,,
1226,1.0,1.66002,0.0
1227,,,
1228,1.0,2.74003,0.0
1229,,,
1230,1.0,28.5803,0.0
1231,2.0,4.40005,0.0
1232,1.0,27.6503,0.0
1233,1.0,0.760008,0.0
1234,,,
1235,1.0,19.0002,0.0
1236,,,
1237,1.0,39.6004,0.0
1238,1.0,4.68005,0.0
1239,2.0,2.4200280000000003,0.0
1240,,,
1241,2.0,3.32004,0.0
1242,,,
1243,,,
1244,,,
1245,1.0,17.3002,0.0
1246,,,
1247,1.0,29.2403,0.0
1248,,,
1249,1.0,1.66002,0.0
1250,,,
1251,,,
1252,,,
1253,,,
1254,,,
1255,,,
1256,,,
1257,,,
1258,,,
1259,,,
1260,1.0,2.74003,0.0
1261,,,
1262,,,
1263,,,
1264,,,
1265,1.0,2.74003,0.0
1266,,,
1267,,,
1268,,,
1269,,,
1270,,,
1271,,,
1272,,,
1273,1.0,28.5803,0.0
1274,1.0,1.66002,0.0
1275,1.0,15.4502,0.0
1276,,,
1277,1.0,28.5803,0.0
1278,1.0,6.28006,0.0
1279,1.0,119.561,0.0
1280,,,
1281,1.0,2.74003,0.0
1282,1.0,2.74003,0.0
1283,1.0,230.922,0.0
1284,,,
1285,,,
1286,,,
1287,,,
1288,1.0,8.13008,0.0
1289,,,
1290,,,
1291,1.0,8.13008,0.0
1292,,,
1293,1.0,2.74003,0.0
1294,,,
1295,,,
1296,1.0,28.5803,0.0
1297,,,
1298,,,
1299,1.0,16.7002,0.0
1300,,,
1301,,,
1302,,,
1303,,,
1304,,,
1305,1.0,0.760008,0.0
1306,,,
1307,,,
1308,1.0,0.760008,0.0
1309,,,
1310,,,
1311,1.0,149.681,0.0
1312,,,
1313,,,
1314,,,
1315,,,
1316,,,
1317,,,
1318,1.0,1.66002,0.0
1319,1.0,128.431,0.0
1320,,,
1321,,,
1322,,,
1323,1.0,16.1102,0.0
1324,1.0,61.0806,0.0
1325,,,
1326,,,
1327,,,
1328,,,
1329,,,
1330,1.0,2.74003,0.0
1331,1.0,8.13008,0.0
1332,,,
1333,,,
1334,,,
1335,1.0,8.88009,0.0
1336,,,
1337,,,
1338,,,
1339,,,
1340,,,
1341,1.0,4.96005,0.0
1342,,,
1343,1.0,2.74003,0.0
1344,2.0,1.520016,0.0
1345,,,
1346,,,
1347,,,
1348,,,
1349,,,
1350,1.0,1.66002,0.0
1351,1.0,1.66002,0.0
1352,,,
1353,2.0,2.4200280000000003,0.0
1354,1.0,3.23003,0.0
1355,,,
1356,,,
1357,,,
1358,,,
1359,1.0,2.74003,0.0
1360,,,
1361,,,
1362,,,
1363,,,
1364,1.0,28.5803,0.0
1365,1.0,6.60007,0.0
1366,,,
1367,,,
1368,,,
1369,,,
1370,1.0,28.5803,0.0
1371,,,
1372,1.0,42.2804,0.0
1373,,,
1374,,,
1375,,,
1376,1.0,1.66002,0.0
1377,,,
1378,1.0,2.74003,0.0
1379,1.0,8.88009,0.0
1380,,,
1381,1.0,28.5803,0.0
1382,,,
1383,,,
1384,1.0,2.74003,0.0
1385,1.0,4.16004,0.0
1386,,,
1387,,,
1388,1.0,2.74003,0.0
1389,,,
1390,,,
1391,,,
1392,,,
1393,,,
1394,,,
1395,,,
1396,1.0,28.5803,0.0
1397,,,
1398,,,
1399,1.0,1.66002,0.0
1400,,,
1401,,,
1402,,,
1403,,,
1404,1.0,2.60003,0.0
1405,,,
1406,,,
1407,,,
1408,,,
1409,,,
1410,,,
1411,1.0,6.04006,0.0
1412,,,
1413,,,
1414,,,
1415,,,
1416,,,
1417,,,
1418,,,
1419,,,
1420,,,
1421,,,
1422,1.0,2.74003,0.0
1423,1.0,128.431,0.0
1424,,,
1425,1.0,28.5803,0.0
1426,1.0,2.74003,0.0
1427,,,
1428,1.0,2.74003,0.0
1429,,,
1430,,,
1431,,,
1432,,,
1433,,,
1434,,,
1435,1.0,2.74003,0.0
1436,1.0,1.66002,0.0
1437,,,
1438,1.0,1.66002,0.0
1439,,,
1440,,,
1441,,,
1442,,,
1443,1.0,28.5803,0.0
1444,1.0,0.760008,0.0
1445,1.0,2.74003,0.0
1446,1.0,2.74003,0.0
1447,,,
1448,,,
1449,1.0,2.74003,0.0
1450,1.0,53.4405,0.0
1451,,,
1452,1.0,2.74003,0.0
1453,,,
1454,,,
1455,1.0,2.74003,0.0
1456,,,
1457,,,
1458,1.0,7.60008,0.0
